파일명,파일명 재정리,시청각기록물 등록번호,제목,유형,MIME 유형,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도
25-고정남-어천역-2018-0605-30.jpg,M-A321096.jpg,M-A321096,어천역,사진류,image/jpeg,2365x3543,,2018-06-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
26-고정남-야목역-2018-0608-30.jpg,M-A321097.jpg,M-A321097,야목역,사진류,image/jpeg,2365x3543,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
27-고정남-야목역-2018-0608-30.jpg,M-A321098.jpg,M-A321098,야목역,사진류,image/jpeg,2365x3543,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
28-고정남-야목역-2018-0519-30.jpg,M-A321099.jpg,M-A321099,야목역,사진류,image/jpeg,3543x2365,,2018-05-19,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
29-고정남-야목역-2018-0519-30.jpg,M-A321100.jpg,M-A321100,야목역,사진류,image/jpeg,2365x3543,,2018-05-19,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
2-고정남-월곶역-2018-0113-30.jpg,M-A321101.jpg,M-A321101,월곶역,사진류,image/jpeg,3543x2365,,2018-01-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
30-고정남-야목역-2018-0519-30.jpg,M-A321102.jpg,M-A321102,야목역,사진류,image/jpeg,2365x3543,,2018-05-19,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
31-고정남-야목역-2018-0519-30.jpg,M-A321103.jpg,M-A321103,야목역,사진류,image/jpeg,2365x3543,,2018-05-19,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
32-고정남-야목역-2018-0605-30.jpg,M-A321104.jpg,M-A321104,야목역,사진류,image/jpeg,3543x2365,,2018-06-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
33-고정남-야목역-2018-0601-30.jpg,M-A321105.jpg,M-A321105,야목역,사진류,image/jpeg,3543x2365,,2018-06-01,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
34-고정남-사리역-2018-0608-30.jpg,M-A321106.jpg,M-A321106,사리역,사진류,image/jpeg,3543x2365,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
35-고정남-야목역-2018-0608-30.jpg,M-A321107.jpg,M-A321107,야목역,사진류,image/jpeg,3543x2365,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
36-고정남-야목역-2018-0605-30.jpg,M-A321108.jpg,M-A321108,야목역,사진류,image/jpeg,3543x2365,,2018-06-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
37-고정남-사리역-2018-0608-30.jpg,M-A321109.jpg,M-A321109,사리역,사진류,image/jpeg,3543x2365,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
38-고정남-사리역-2018-0608-30.jpg,M-A321110.jpg,M-A321110,사리역,사진류,image/jpeg,3543x2365,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
39-고정남-야목역-2018-0608-30.jpg,M-A321111.jpg,M-A321111,야목역,사진류,image/jpeg,3543x2365,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
3-고정남-월곶역-2018-0113-30.jpg,M-A321112.jpg,M-A321112,월곶역,사진류,image/jpeg,2365x3543,,2018-01-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
40-고정남-야목역-2018-0608-30.jpg,M-A321113.jpg,M-A321113,야목역,사진류,image/jpeg,3543x2365,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
41-고정남-야목역-2018-0608-30.jpg,M-A321114.jpg,M-A321114,야목역,사진류,image/jpeg,3543x2365,,2018-06-05,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
42-고정남-야목역-2018-0608-30.jpg,M-A321115.jpg,M-A321115,야목역,사진류,image/jpeg,3543x2365,,2018-06-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
43-고정남-월곶역-2018-0616-30.jpg,M-A321116.jpg,M-A321116,월곶역,사진류,image/jpeg,3543x2365,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
44-고정남-월곶역-2018-0616-30.jpg,M-A321117.jpg,M-A321117,월곶역,사진류,image/jpeg,3543x2365,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
45-고정남-월곶역-2018-0616-30.jpg,M-A321118.jpg,M-A321118,월곶역,사진류,image/jpeg,3543x2365,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
46고정남-월곶역-2018-0616-30.jpg,M-A321119.jpg,M-A321119,월곶역,사진류,image/jpeg,2365x3543,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
47-고정남-월곶역-2018-0613-30.jpg,M-A321120.jpg,M-A321120,월곶역,사진류,image/jpeg,2365x3543,,2018-06-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
48-고정남-월곶역-2018-0508-30.jpg,M-A321121.jpg,M-A321121,월곶역,사진류,image/jpeg,3543x2365,,2018-05-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
49-고정남-월곶역-2018-0508-30.jpg,M-A321122.jpg,M-A321122,월곶역,사진류,image/jpeg,3543x2365,,2018-05-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
4-고정남-월곶역-2018-0113-30.jpg,M-A321123.jpg,M-A321123,월곶역,사진류,image/jpeg,2365x3543,,2018-01-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
50-고정남-월곶역-2018-0613-30.jpg,M-A321124.jpg,M-A321124,월곶역,사진류,image/jpeg,3543x2365,,2018-06-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
51-고정남-월곶역-2018-0612-30.jpg,M-A321125.jpg,M-A321125,월곶역,사진류,image/jpeg,3543x2365,,2018-06-12,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
52-고정남-월곶역-2018-0616-30.jpg,M-A321126.jpg,M-A321126,월곶역,사진류,image/jpeg,2365x3543,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
53-고정남-월곶역-2018-0622-30.jpg,M-A321127.jpg,M-A321127,월곶역,사진류,image/jpeg,2365x3543,,2018-06-22,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
54-고정남-월곶역-2018-0616-30.jpg,M-A321128.jpg,M-A321128,월곶역,사진류,image/jpeg,3543x2365,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
55-고정남-월곶역-2018-0616-30.jpg,M-A321129.jpg,M-A321129,월곶역,사진류,image/jpeg,2365x3543,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
56-고정남-월곶역-2018-0612-30.jpg,M-A321130.jpg,M-A321130,월곶역,사진류,image/jpeg,3543x2365,,2018-06-12,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
