"(정책목표)
본부 단위 업무기능",팀(부서) 단위 업무기능,팀원(개인) 단위 업무기능,사업 단위 업무기능,,,,,,
경기천년사업,아카이빙,,아카이브 플랫폼 및 데이터 활용모델 연구,,,,,,
경기천년사업,아카이빙,,기록관리기준표 운영 안내서 작성을 위한 자문,,,,,,
경기천년사업,아카이빙,,컨설팅 보고서 발간,,,,,,
경기천년사업,아카이빙,경기천년사업 디지털 아카이빙,경기천년사업 수집자료 및 기록물 데이터 등록,,,,,,
경기천년사업,아카이빙,,오픈소스 활용 웹 서버 설계 구축,,,,,,
경기천년사업,아카이빙,,온라인 전시 웹 페이지 구현,,,,,,
경기천년사업,아카이빙,경기천년사업 과정 아카이브 및 리서치,경기천년사업 기록물 수집 및 목록화,,기록물 수집 및 목록화,,,,
경기천년사업,아카이빙,,경기천년사업 영상 기록 및 구술 채록,,영상 및 구술 기록화,,,,
경기천년사업,아카이빙,,경기천년 도큐페스타 전시 콘텐츠 구성,,컨텐츠 구성,,,,
경기천년사업,아카이빙,,경기천년 홈페이지 콘텐츠 구성,,컨텐츠 구성,,,,
경기천년사업,아카이빙,,공공 프로그램 기획 및 운영,,공공 프로그램,,,,
경기천년사업,아카이빙,,경기천년사업 수행자 협력 방안 구축,,수행자 협력,,,,
경기천년사업,아카이빙,경기천년상상룸 공간조성,인테리어 및 냉난방 시설 보수,,시설보수,,,,
경기천년사업,아카이빙,,기록물 임시 보관 및 행사 진행 시설 확충,,공간조성,,,,
경기천년사업,아카이빙,,공간 영역 재배치 및 스크린 설치,,공간조성,,,,
경기천년사업,아카이빙,,전시시설 설계 및 제작,,공간조성,,,,
경기천년사업,아카이빙,경기천년 타임캡슐 추진방향 연구,경기천년 타임캡슐 사업 추진 관련 환경 분석,,,,,,
경기천년사업,아카이빙,,경기천년 타임캡슐 관련 국내외 사례조사·분석,,,,,,
경기천년사업,아카이빙,,경기천년 타임캡슐 사업 추진방향 및 추진내용 도출,,,,,,
경기천년사업,아카이빙,,경기천년 타임캡슐 사업 추진을 위한 전문가 워크샵 개최,,,,,,
경기천년사업,아카이빙,,연구 보고서 발간(간행),,,,,,
경기천년사업,아카이빙,경기천년 기록 아카이브,경기도의 현재 '기록하기'-31명 사진가 참여 31개 시.군 기록 천컷,,,,,,
경기천년사업,아카이빙,,"경기도의 과거와 현재를 '잇기'-사진, 영상, 항공촬영",,,,,,
경기천년사업,아카이빙,,경기도 아카이브를 예술로 '해석하기',,,,,,
