파일명,파일명 재정리,시청각기록물 등록번호,생산(수집) 등록번호,제목,유형,MIME 유형,File 유형,File 사이즈,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(과업),주제어(주제),주제어(피사체유형),주제어(계절),주제어(지역),위도/경도,MD5 Checksum
가평20180406_청평삼회마을_김건우_32.jpg,A320137M320041.jpg,M-A320041,1431052-A320137,청평삼회마을,사진류,image/jpeg,jpg,4.1 MB,3000x2000,,2018-04-06,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,c1eae7ab63188b5559d1e8c17af839ef
가평20180406_청평삼회마을_김건우_35.jpg,A320138M320042.jpg,M-A320042,1431052-A320138,청평삼회마을,사진류,image/jpeg,jpg,3.8 MB,3000x2000,,2018-04-06,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,d9aede136a884a0b9b00b71fe4165876
가평20180414_북한강로벚꽃길_김건우_36.jpg,A320139M320043.jpg,M-A320043,1431052-A320139,북한강로벚꽃길,사진류,image/jpeg,jpg,4.6 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,82fcdc3cb127a0a3231753a2ca2908c4
가평20180414_북한강로벚꽃길_김건우_37.jpg,A320140M320044.jpg,M-A320044,1431052-A320140,북한강로벚꽃길,사진류,image/jpeg,jpg,5.6 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,5fd4d004964a3d187f2a0640316a4cf8
가평20180414_북한강로벚꽃길_김건우_38.jpg,A320141M320045.jpg,M-A320045,1431052-A320141,북한강로벚꽃길,사진류,image/jpeg,jpg,7.5 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,142b4037836541295e3a8eb7bcd9d936
가평20180414_북한강로벚꽃길_김건우_40.jpg,A320142M320046.jpg,M-A320046,1431052-A320142,북한강로벚꽃길,사진류,image/jpeg,jpg,3.6 MB,1333x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,2483861c0266900d4b385a35907a9af6
가평20180414_북한강로벚꽃길_김건우_41.jpg,A320143M320047.jpg,M-A320047,1431052-A320143,북한강로벚꽃길,사진류,image/jpeg,jpg,6.5 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,eca4127ada0ae93242c7ef8d65e99573
가평20180414_북한강로벚꽃길_김건우_42.jpg,A320144M320048.jpg,M-A320048,1431052-A320144,북한강로벚꽃길,사진류,image/jpeg,jpg,5.0 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,bf31f153a5535afdc759fc86df6da4e7
가평20180414_북한강로벚꽃길_김건우_44.jpg,A320145M320049.jpg,M-A320049,1431052-A320145,북한강로벚꽃길,사진류,image/jpeg,jpg,6.1 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,2ca1c6bf6f7b3ee902b84d85ce5e3fe8
가평20180414_북한강로벚꽃길_김건우_45.jpg,A320146M320050.jpg,M-A320050,1431052-A320146,북한강로벚꽃길,사진류,image/jpeg,jpg,3.7 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,1a8ebfced066734ec8963ad3946bdd64
가평20180414_북한강로벚꽃길_김건우_48.jpg,A320147M320051.jpg,M-A320051,1431052-A320147,북한강로벚꽃길,사진류,image/jpeg,jpg,4.3 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,ccc41c213095c505931d90b78fcd927b
가평20180414_북한강로벚꽃길_김건우_51.jpg,A320148M320052.jpg,M-A320052,1431052-A320148,북한강로벚꽃길,사진류,image/jpeg,jpg,4.1 MB,3000x2000,,2018-04-14,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,90bcb8ffc3af2e1ab568dbfc39953df5
가평20180510_아침고요수목원_김건우_55.jpg,A320149M320053.jpg,M-A320053,1431052-A320149,아침고요수목원,사진류,image/jpeg,jpg,4.1 MB,3000x2000,,2018-05-10,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,346c99544a06bea44d32d2891dadaf90
가평20180510_아침고요수목원_김건우_59.jpg,A320150M320054.jpg,M-A320054,1431052-A320150,아침고요수목원,사진류,image/jpeg,jpg,6.6 MB,3000x2000,,2018-05-10,김건우,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,가평군,37.819384/127.449726,fd02cbb0a3a72e5c5ef88f893094a3ac
구리시_20180101_동구릉수릉홍살문_백형실_1.jpg,A320151M320055.jpg,M-A320055,1431052-A320151,동구릉수릉홍살문 ,사진류,image/jpeg,jpg,4.9 MB,2998x2000,,2018-01-01,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,구리시,37.599279/127.130698,454a2fa8ac4a38491a628eee5160e798
구리시_20180101_새벽구리타워_백형실_2.jpg,A320152M320056.jpg,M-A320056,1431052-A320152,새벽구리타워 ,사진류,image/jpeg,jpg,2.5 MB,2998x2000,,2018-01-01,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,구리시,37.599279/127.130698,54b7690b9275de1c2ab0304d56c808f1
구리시_20180101_아차산큰바위얼굴_백형실_3.jpg,A320153M320057.jpg,M-A320057,1431052-A320153,아차산큰바위얼굴 ,사진류,image/jpeg,jpg,6.9 MB,3000x2000,,2018-01-01,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,구리시,37.599279/127.130698,f98ac326b55a60e31a113de96cea12c1
구리시_20180113_구리시민공원_백형실_5.jpg,A320154M320058.jpg,M-A320058,1431052-A320154,구리시민공원 ,사진류,image/jpeg,jpg,4.2 MB,3000x2000,,2018-01-13,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,구리시,37.599279/127.130698,4a1d89f4845d38b891830d51402c1577
구리시_20180113_구리역사공원소녀상_백형실_6.jpg,A320155M320059.jpg,M-A320059,1431052-A320155,구리역사공원소녀상 ,사진류,image/jpeg,jpg,5.0 MB,2998x2000,,2018-01-13,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,구리시,37.599279/127.130698,9327b8e47f5d3c2b62ca181c53401862
구리시_20180113_왕숙천얼음썰매장_백형실_7.jpg,A320156M320060.jpg,M-A320060,1431052-A320156,왕숙천얼음썰매장 ,사진류,image/jpeg,jpg,3.8 MB,2998x2000,,2018-01-13,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,구리시,37.599279/127.130698,b91565a779ba9f86700bbbba86c7caf6
구리시_20180114_구리타워에서 바라본 정수장_백형실_9.jpg,A320157M320061.jpg,M-A320061,1431052-A320157,구리타워에서 바라본 정수장 ,사진류,image/jpeg,jpg,5.6 MB,2998x2000,,2018-01-14,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,구리시,37.599279/127.130698,b38639019d335df9705f03e5eb3917dd
구리시_20180308_동구릉혜릉제향제관행렬_백형실_13.jpg,A320158M320062.jpg,M-A320062,1431052-A320158,동구릉혜릉제향제관행렬 ,사진류,image/jpeg,jpg,5.6 MB,2998x2000,,2018-03-08,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,b3418df71b1b7268425efcd29c74c0b6
구리시_20180308_동구릉혜릉제향제해설사이재호_백형실_14.jpg,A320159M320063.jpg,M-A320063,1431052-A320159,동구릉혜릉제향제해설사이재호 ,사진류,image/jpeg,jpg,2.4 MB,1333x2000,,2018-03-08,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,50d25b403e6bb233bc407ec9c52dff9e
구리시_20180313_돌섬마을_백형실_21.jpg,A320160M320064.jpg,M-A320064,1431052-A320160,돌섬마을 ,사진류,image/jpeg,jpg,4.5 MB,2998x2000,,2018-03-13,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,68ae08491938b6b89272676f01addb41
구리시_20180313_돌섬마을입구_백형실_25.jpg,A320161M320065.jpg,M-A320065,1431052-A320161,돌섬마을입구 ,사진류,image/jpeg,jpg,3.8 MB,2998x2000,,2018-03-13,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,798ecead0f98e498855dacf8feb7e5a3
구리시_20180318_아차산2보루_백형실_28.jpg,A320162M320066.jpg,M-A320066,1431052-A320162,아차산2보루 ,사진류,image/jpeg,jpg,5.1 MB,2998x2000,,2018-03-18,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,15c510c81ee2228d606ced467ca56c56
구리시_20180320_꿈터대안학교현장학습_백형실_30.jpg,A320163M320067.jpg,M-A320067,1431052-A320163,꿈터대안학교현장학습 ,사진류,image/jpeg,jpg,3.4 MB,2998x2000,,2018-03-20,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,c8ddeab105e32a472a18564608e35f6b
구리시_20180320_아차산4보루성벽_백형실_31.jpg,A320164M320068.jpg,M-A320068,1431052-A320164,아차산4보루성벽 ,사진류,image/jpeg,jpg,6.7 MB,2998x2000,,2018-03-20,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,976e3a4da29a100c8c40876808afe922
구리시_20180331_아차산홍련봉_백형실_36.jpg,A320165M320069.jpg,M-A320069,1431052-A320165,아차산홍련봉 ,사진류,image/jpeg,jpg,6.6 MB,2998x2000,,2018-03-31,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,ee92565838cdf77e010c884edd500890
구리시_20180403_아차산과진달래_백형실_39.jpg,A320166M320070.jpg,M-A320070,1431052-A320166,아차산과진달래 ,사진류,image/jpeg,jpg,5.5 MB,2998x2000,,2018-04-03,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,184c741cce59aeaf1cd83916ee0383be
구리시_20180403_아차산둘레길_백형실_40.jpg,A320167M320071.jpg,M-A320071,1431052-A320167,아차산둘레길 ,사진류,image/jpeg,jpg,5.2 MB,2998x2000,,2018-04-03,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,7b82d9b0062ab89b510437c4a90545bf
구리시_20180404_아차산과한강_백형실_57.jpg,A320168M320072.jpg,M-A320072,1431052-A320168,아차산과한강 ,사진류,image/jpeg,jpg,12 MB,6573x2000,,2018-04-04,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,88b360fed48792e40a105ed9ff0749a5
구리시_20180408_아차산고구려정_백형실_42.jpg,A320169M320073.jpg,M-A320073,1431052-A320169,아차산고구려정 ,사진류,image/jpeg,jpg,4.5 MB,3000x2000,,2018-04-08,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,78075d2be0e53a59395ce2da09f77c87
구리시_20180408_아차산에서바라본도봉산_백형실_44.jpg,A320170M320074.jpg,M-A320074,1431052-A320170,아차산에서바라본도봉산 ,사진류,image/jpeg,jpg,3.7 MB,3000x2000,,2018-04-08,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,e571bfc377d56465f7aebab44f97759a
