파일명	파일명 재정리	시청각기록물 등록번호	제목	유형	MIME 유형	Image 사이즈	재생시간	생산일	생산자	제공일	제공자	수집일	수집자	주제어(사업명)	주제어(약어)	주제어(단위과제)	주제어(1차)	주제어(2차)	위도/경도
화성-180106-1월메타폴리스 조망-한정애.jpg	M-A321030.jpg	M-A321030	1월 메타폴리스 조망	사진류	image/jpeg	10922x3121		2018-01-06	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910864
화성-180113-1월미세먼지메타 조망-한정애.jpg	M-A321032.jpg	M-A321032	1월 미세먼지메타 조망	사진류	image/jpeg	10496x2998		2018-01-13	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910866
화성-161108- 2016년 가을 동탄 조망-한정애j.jpg	M-A321026.jpg	M-A321026	16년 가을 동탄 조망	사진류	image/jpeg	20449x5112		2016-11-08	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910860
화성-180213-2월 미세먼지메타조망-한정애.jpg	M-A321036.jpg	M-A321036	2월 미세먼지메타조망	사진류	image/jpeg	10855x3101		2018-02-13	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910870
화성-180306-3월 미세먼지메타폴리스조망-한정애.jpg	M-A321040.jpg	M-A321040	3월 미세먼지메타폴리스조망	사진류	image/jpeg	10431x2980		2018-03-06	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910874
화성-180513-5월미세먼지메타폴리스5월조망-한정애.jpg	M-A321046.jpg	M-A321046	5월 미세먼지메타폴리스조망	사진류	image/jpeg	10724x3064		2018-05-13	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910880
시흥시_20180510_27_K Water_김준영_27.jpg	M-A320510.jpg	M-A320510	K Water 	사진류	image/jpeg	3000x2000		2018-05-10	김준영	2018-08-07	최연하	2018-08-22	이상민	경기천년 기록 아카이브	경기기록	31개 시군	시흥시	풍경	37.378096/126.769284
시흥시_20180510_34_K Water 34.jpg	M-A320517.jpg	M-A320517	K Water 	사진류	image/jpeg	3000x2000		2018-05-10	김준영	2018-08-07	최연하	2018-08-22	이상민	경기천년 기록 아카이브	경기기록	31개 시군	시흥시	풍경	37.378096/126.769291
성남_20180323_Pilot공장#1_안한식.jpg	M-A320407.jpg	M-A320407	Pilot공장 	사진류	image/jpeg	3000x2000		2018-03-23	안한식	2018-08-07	최연하	2018-08-22	이상민	경기천년 기록 아카이브	경기기록	31개 시군	성남시	풍경	37.407313/127.113847
오산_20180619_UN참전기념공원_이호진_15.jpg	M-A320694.jpg	M-A320694	UN참전기념공원	사진류	image/jpeg	3000x2000		2018-06-19	이호진	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	31개 시군	오산시	풍경	37.162540/127.050746
오산_20180619_UN참전기념공원_이호진_17.jpg	M-A320695.jpg	M-A320695	UN참전기념공원	사진류	image/jpeg	3000x2000		2018-06-19	이호진	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	31개 시군	오산시	풍경	37.162540/127.050747
오산_20180619_UN참전기념공원_이호진_18.jpg	M-A320696.jpg	M-A320696	UN참전기념공원	사진류	image/jpeg	3000x2000		2018-06-19	이호진	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	31개 시군	오산시	풍경	37.162540/127.050748
오산_20180619_UN참전기념공원에서 본 세교신도시_이호진_16.jpg	M-A320697.jpg	M-A320697	UN참전기념공원에서 본 세교신도시	사진류	image/jpeg	3000x2000		2018-06-19	이호진	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	31개 시군	오산시	풍경	37.162540/127.050749
강재훈-가평 남이섬 여객선01.tif	M-A321418.tif	M-A321418	가평 남이섬 여객선	사진류	image/tiff	4256x2832		2010-04-11	강재훈	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	대여작품	경기도의 교육	풍경	
강재훈-가평 아침고요수목원01-1.TIF	M-A321419.tif	M-A321419	가평 아침고요수목원	사진류	image/tiff	3888x2592		2009-12-06	강재훈	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	대여작품	경기도의 교육	풍경	
강재훈-가평 호명호수길02.tif	M-A321420.tif	M-A321420	가평 호명호수길	사진류	image/tiff	4256x2832		2010-04-11	강재훈	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	대여작품	경기도의 교육	풍경	
가평_1981_83_최광호.tif	M-A321569.tif	M-A321569	가평_1981	사진류	image/tiff	3796x5600		1980-01-21	최광호	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	대여작품	경기도의 80년대초	풍경	
가평2_1981_83_최광호.tif	M-A321570.tif	M-A321570	가평_1981	사진류	image/tiff	3744x5574		1980-01-21	최광호	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	대여작품	경기도의 80년대초	풍경	
신병문-가평군/북한강_201306.jpg	M-A321246.jpg	M-A321246	가평군 북한강	사진류	image/jpeg	7360x4912		2013-06-30	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
가평20180324_가평대교_김건우_17.jpg	M-A320010.jpg	M-A320010	가평대교	사진류	image/jpeg	3000x2000		2018-03-24	김건우	2018-08-07	최연하	2018-08-22	이상민	경기천년 기록 아카이브	경기기록	31개 시군	가평군	풍경	37.824161/127.455951
가평20180324_가평대교_김건우_18.jpg	M-A320011.jpg	M-A320011	가평대교	사진류	image/jpeg	3000x2000		2018-03-24	김건우	2018-08-07	최연하	2018-08-22	이상민	경기천년 기록 아카이브	경기기록	31개 시군	가평군	풍경	37.824161/127.455952
하남_20180126_강변북로하남전경_류주연 .jpg	M-A320997.jpg	M-A320997	강변북로하남전경	사진류	image/jpeg	3000x2000		2018-01-26	류주연	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	31개 시군	하남시	풍경	37.523132/127.205535
하남_20180420_강변자전거7_류주연.jpg	M-A321015.jpg	M-A321015	강변자전거	사진류	image/jpeg	3000x2000		2018-04-20	류주연	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	31개 시군	하남시	풍경	37.523132/127.205553
하남_20180221_강북에서바라본스타필드_류주연 .jpg	M-A321003.jpg	M-A321003	강북에서바라본스타필드	사진류	image/jpeg	3000x2000		2018-02-21	류주연	2018-08-07	최연하	2018-08-23	이상민	경기천년 기록 아카이브	경기기록	31개 시군	하남시	풍경	37.523132/127.205541
개신리부처우_20180225_흔적_박교현 (1).jpg	M-A320628.jpg	M-A320628	개신리부처우 흔적	사진류	image/jpeg	3006x2000		2018-02-24	박교현	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	31개 시군	여주시	풍경	37.302737/127.611997
개신리부처우_20180225_흔적_박교현 (4).jpg	M-A320629.jpg	M-A320629	개신리부처우 흔적	사진류	image/jpeg	3006x2000		2018-02-24	박교현	2018-08-09	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	31개 시군	여주시	풍경	37.302737/127.611998
화성-180131-건릉 한정애 (2).jpg	M-A321034.jpg	M-A321034	건릉 한정애	사진류	image/jpeg	19593x6531		2018-01-31	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910868
화성-20180319-경기남부의 랜드마크- 메타폴리스 수원시에서 촬영-한정애j.jpg	M-A321058.jpg	M-A321058	경기남부의 랜드마크	사진류	image/jpeg	20162x5761		2018-03-19	한정애	2018-08-07	최연하	2018-08-24	이상민	경기천년 기록 아카이브	경기기록	31개 시군	화성시	풍경	37.181173/126.910892
신병문-경기도 가평군 가평읍_1432_00001.jpg	M-A321247.jpg	M-A321247	경기도 가평군 가평읍	사진류	image/jpeg	7209x4811		2013-06-30	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 가평군 겨울축제 얼음낚시-201201.jpg	M-A321248.jpg	M-A321248	경기도 가평군 겨울축제 얼음낚시	사진류	image/jpeg	4256x2832		2012-01-07	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 가평군 북한강_201210.jpg	M-A321250.jpg	M-A321250	경기도 가평군 북한강	사진류	image/jpeg	6048x4032		2012-10-23	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 가평군 북한강 수상스키201306.jpg	M-A321249.jpg	M-A321249	경기도 가평군 북한강 수상스키	사진류	image/jpeg	7360x4912		2013-06-30	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 가평군 수상스키 201309.jpg	M-A321251.jpg	M-A321251	경기도 가평군 수상스키 	사진류	image/jpeg	7021x4686		2013-09-15	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 가평군 자라섬 201210.jpg	M-A321252.jpg	M-A321252	경기도 가평군 자라섬 	사진류	image/jpeg	6048x4032		2012-10-23	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 가평군 청평 북한강201306.jpg	M-A321253.jpg	M-A321253	경기도 가평군 청평 북한강	사진류	image/jpeg	7360x4912		2013-06-30	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 _20180124_.jpg	M-A321254.jpg	M-A321254	경기도 고양시 	사진류	image/jpeg	7085x4729		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 북한산_20180124.jpg	M-A321255.jpg	M-A321255	경기도 고양시 북한산	사진류	image/jpeg	7360x4912		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 일산 _180124_110322_00006.jpg	M-A321256.jpg	M-A321256	경기도 고양시 일산 	사진류	image/jpeg	7360x4912		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 일산 _180124_110340_00007.jpg	M-A321257.jpg	M-A321257	경기도 고양시 일산 	사진류	image/jpeg	7360x4912		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 일산암센터 _20180124_.jpg	M-A321258.jpg	M-A321258	경기도 고양시 일산암센터 	사진류	image/jpeg	7085x4729		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 자유로 한강 _180124_094338_00011.jpg	M-A321259.jpg	M-A321259	경기도 고양시 자유로 한강 	사진류	image/jpeg	7360x4912		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 장항동_20180124.jpg	M-A321260.jpg	M-A321260	경기도 고양시 장항동	사진류	image/jpeg	7137x4763		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 고양시 장항동_20180124_.jpg	M-A321261.jpg	M-A321261	경기도 고양시 장항동	사진류	image/jpeg	7173x4787		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 과천시 관악산_180616_071427_00004.jpg	M-A321264.jpg	M-A321264	경기도 과천시 관악산	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 과천시 관악산 (구)정부청사_180616_070833_00002.jpg	M-A321262.jpg	M-A321262	경기도 과천시 관악산 (구)정부청사	사진류	image/jpeg	7085x4729		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 과천시 관악산 렛츠런파크_180616_065124_00003.jpg	M-A321263.jpg	M-A321263	경기도 과천시 관악산 렛츠런파크	사진류	image/jpeg	7227x4823		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 과천시 렛츠런파크_180616_070546_00006.jpg	M-A321265.jpg	M-A321265	경기도 과천시 렛츠런파크	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 광명시_180429_065651_00001.jpg	M-A321267.jpg	M-A321267	경기도 광명시	사진류	image/jpeg	7360x4912		2018-04-29	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 광명시 ktx광명역_180616_071820_00083.jpg	M-A321266.jpg	M-A321266	경기도 광명시 ktx광명역	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 광주시 에버랜드_201509.jpg	M-A321268.jpg	M-A321268	경기도 광주시 에버랜드	사진류	image/jpeg	7436x5026		2015-09-27	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 광주시 추모공원_201509.jpg	M-A321269.jpg	M-A321269	경기도 광주시 추모공원	사진류	image/jpeg	7360x4912		2015-09-27	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 광주시 추모공원_201509-.jpg	M-A321270.jpg	M-A321270	경기도 광주시 추모공원	사진류	image/jpeg	7360x4912		2015-09-27	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 구리시 남양주시_180616_065454_00001.jpg	M-A321271.jpg	M-A321271	경기도 구리시 남양주시	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 군포시 물류터미널_180429_073613_00003.jpg	M-A321272.jpg	M-A321272	경기도 군포시 물류터미널	사진류	image/jpeg	7360x4912		2018-04-29	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 군포시 안양컨트리클럽_180429_072220_00006.jpg	M-A321273.jpg	M-A321273	경기도 군포시 안양컨트리클럽	사진류	image/jpeg	7360x4912		2018-04-29	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 군포시 안양컨트리클럽_180429_073403_00011.jpg	M-A321274.jpg	M-A321274	경기도 군포시 안양컨트리클럽	사진류	image/jpeg	7360x4912		2018-04-29	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 군포시 철쭉동산_20180429.jpg	M-A321275.jpg	M-A321275	경기도 군포시 철쭉동산	사진류	image/jpeg	7360x4912		2018-04-29	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 동두천시_20180124.jpg	M-A321276.jpg	M-A321276	경기도 동두천시	사진류	image/jpeg	7360x4912		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 동두천시_20180124_.jpg	M-A321277.jpg	M-A321277	경기도 동두천시	사진류	image/jpeg	7360x4912		2018-01-24	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
