파일명,파일명 재정리,생산(수집) 등록번호,시청각기록물 등록번호,제목,유형,MIME 유형,File 유형,File 사이즈,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도,MD5 Checksum
김윤섭 34_광명 볍씨학교0508_경기도의아이들7117.JPG,M-A321169.jpg,,M-A321169,볍씨학교7117,사진류,image/jpeg,jpg,14 MB,5946x3964,,2018:05:08 14:27:46,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 35_시흥 승지초등학교0410_경기도의아이들0718.JPG,M-A321170.jpg,,M-A321170,승지초등학교718,사진류,image/jpeg,jpg,9.4 MB,5494x3663,,2018:04:10 09:25:15,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 36_광명 볍씨학교0417_경기도의아이들3322.JPG,M-A321171.jpg,,M-A321171,볍씨학교3322,사진류,image/jpeg,jpg,11 MB,5946x3964,,2018:04:17 13:53:40,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 37_수원 달팽이어린이집0424_경기도의아이들3493.JPG,M-A321172.jpg,,M-A321172,달팽이어린이집3493,사진류,image/jpeg,jpg,12 MB,5702x3801,,2018:04:24 12:02:22,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 38_시흥 승지초등학교0410_경기도의아이들_돌봄교실1797.JPG,M-A321173.jpg,,M-A321173,승지초등학교 돌봄교실1797,사진류,image/jpeg,jpg,13 MB,5916x3944,,2018:04:10 15:34:08,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 39_시흥 승지초등학교0503_경기도의아이들5823.JPG,M-A321174.jpg,,M-A321174,승지초등학교5823,사진류,image/jpeg,jpg,12 MB,5664x3776,,2018:05:03 09:26:57,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 40_시흥 승지초등학교0503_경기도의아이들5851.JPG,M-A321175.jpg,,M-A321175,승지초등학교5851,사진류,image/jpeg,jpg,14 MB,5910x3940,,2018:05:03 09:32:11,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 41_군포 대야미마을교육공동체0519_경기도의아이들_9212.JPG,M-A321176.jpg,,M-A321176,대야미마을교육공동체9212,사진류,image/jpeg,jpg,12 MB,5492x3661,,2018:05:19 11:26:01,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 42_파주 임진각0426_경기도의아이들_남북정상회담 하루 전날 통일시대를 맞이하게 될 아이들 KYS_4795.JPG,M-A321177.jpg,,M-A321177,임진각 남북정상회담 하루 전날 통일시대를 맞이하게 될 아이들4795,사진류,image/jpeg,jpg,11 MB,5485x3657,,2018:04:26 18:44:19,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 43_시흥 승지초등학교0410_경기도의아이들_돌봄교실1814.JPG,M-A321178.jpg,,M-A321178,승지초등학교 돌봄교실1814,사진류,image/jpeg,jpg,10 MB,5949x3966,,2018:04:10 15:42:06,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
