파일명,파일명 재정리,생산(수집) 등록번호,시청각기록물 등록번호,제목,유형,MIME 유형,File 유형,File 사이즈,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도,MD5 Checksum
김윤섭 19_광명 볍씨학교0419_경기도의아이들_고양이 니코4425.JPG,M-A321154.jpg,,M-A321154,볍씨학교 고양이 니코4425,사진류,image/jpeg,jpg,14 MB,5946x3964,,2018:04:19 15:57:39,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 20_광명 볍씨학교0419_경기도의아이들_자신의 나무에 대한 글쓰기 KYS_4272.JPG,M-A321155.jpg,,M-A321155,볍씨학교 자신의 나무에 대한 글쓰기4272,사진류,image/jpeg,jpg,15 MB,5670x3780,,2018:04:19 14:27:56,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 21_광명 볍씨학교0510_경기도의아이들8058.JPG,M-A321156.jpg,,M-A321156,볍씨학교8058,사진류,image/jpeg,jpg,12 MB,5649x3766,,2018:05:10 15:07:51,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 22_광명 풀씨학교0419_경기도의아이들3901.JPG,M-A321157.jpg,,M-A321157,풀씨학교3901,사진류,image/jpeg,jpg,11 MB,5756x3837,,2018:04:19 11:02:35,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 23_광명 볍씨학교0419_경기도의아이들_주제토론4365.JPG,M-A321158.jpg,,M-A321158,볍씨학교 주제토론4365,사진류,image/jpeg,jpg,14 MB,5913x3942,,2018:04:19 15:21:00,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 24_시흥 승지초등학교0412_경기도의아이들_교장 교감쌤의 아침인사1972.JPG,M-A321159.jpg,,M-A321159,승지초등학교 교장 교감쌤의 아침인사1972,사진류,image/jpeg,jpg,9.9 MB,5424x3616,,2018:04:12 08:46:14,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 25_광명 풀씨학교0510_경기도의아이들7722.JPG,M-A321160.jpg,,M-A321160,풀씨학교7722,사진류,image/jpeg,jpg,14 MB,5820x3880,,2018:05:10 09:30:14,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 26_수원 달팽이어린이집0427_경기도의아이들_헤어지다4982.JPG,M-A321161.jpg,,M-A321161,달팽이어린이집 헤어지다4982,사진류,image/jpeg,jpg,8.9 MB,5308x3539,,2018:04:27 10:13:00,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 27_시흥 승지초등학교0412_경기도의아이들_학부모와 아이들의 대화시간2719.JPG,M-A321162.jpg,,M-A321162,승지초등학교 학부모와 아이들의 대화시간2719,사진류,image/jpeg,jpg,12 MB,5718x3812,,2018:04:12 13:52:09,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 28_광명 볍씨학교0510_경기도의아이들8152.JPG,M-A321163.jpg,,M-A321163,볍씨학교8152,사진류,image/jpeg,jpg,10 MB,5615x3743,,2018:05:10 16:18:15,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 29_광명 볍씨학교0417_경기도의아이들3270.JPG,M-A321164.jpg,,M-A321164,볍씨학교3270,사진류,image/jpeg,jpg,11 MB,5688x3792,,2018:04:17 12:54:43,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 30_광명 볍씨학교0508_경기도의아이들_지기 활동7088.JPG,M-A321165.jpg,,M-A321165,볍씨학교 지기 활동7088,사진류,image/jpeg,jpg,16 MB,5946x3964,,2018:05:08 13:50:56,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 31_광명 볍씨학교0508_경기도의아이들7219.JPG,M-A321166.jpg,,M-A321166,볍씨학교7219,사진류,image/jpeg,jpg,17 MB,5910x3940,,2018:05:08 15:13:40,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 32_광명 볍씨학교0508_경기도의아이들7303.JPG,M-A321167.jpg,,M-A321167,볍씨학교7303,사진류,image/jpeg,jpg,12 MB,5709x3806,,2018:05:08 15:38:04,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
김윤섭 33_광명 볍씨학교0417_경기도의아이들3534.JPG,M-A321168.jpg,,M-A321168,볍씨학교3534,사진류,image/jpeg,jpg,11 MB,5706x3804,,2018:04:17 15:40:28,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,,,
